model,year,region,color,fuel_type,base_price_usd,horsepower,sales_volume,turbo
GLE,2024,Global,Grey,Petrol,73234,305,1,No
C-Class,2021,Global,Black,Petrol,63616,244,1,Yes
GLB,2020,Global,Black,Petrol,44207,386,1,Yes
S-Class,2023,Global,Green,Diesel,343901,692,1,Yes
GLE,2025,Global,Blue,Petrol,124893,580,1,Yes
GLA,2025,Global,Blue,Petrol,86517,260,1,Yes
CLA,2025,Global,Green,Hybrid,42166,323,1,Yes
GLA,2022,Global,White,Hybrid,82880,259,1,Yes
GLS,2023,Global,Silver,Petrol,205530,558,1,Yes
GLB,2024,Global,White,Petrol,49770,404,1,Yes
E-Class,2023,Global,Black,Hybrid,60747,251,1,Yes
C-Class,2024,Global,Blue,Electric,66140,308,1,Yes
CLA,2022,Global,Grey,Hybrid,76791,260,1,Yes
AMG GT,2023,Global,Grey,Petrol,290070,694,1,Yes
GLA,2024,Global,White,Hybrid,92549,182,1,Yes
GLA,2025,Global,Silver,Electric,48870,253,1,Yes
GLC,2024,Global,Black,Hybrid,74324,344,1,Yes
GLB,2020,Global,White,Petrol,71527,301,1,Yes
CLA,2025,Global,Silver,Electric,93621,282,1,Yes
A-Class,2021,Global,Silver,Diesel,70830,406,1,Yes
C-Class,2020,Global,Brown,Petrol,84651,303,1,Yes
AMG A 45,2025,Global,White,Diesel,207405,409,1,Yes
C-Class,2021,Global,White,Hybrid,53655,201,1,Yes
C-Class,2024,Global,Grey,Petrol,88735,497,1,Yes
C-Class,2021,Global,Grey,Petrol,53157,403,1,Yes
GLS,2025,Global,Grey,Electric,148316,476,1,Yes
GLC,2020,Global,White,Petrol,61195,310,1,Yes
C-Class,2023,Global,Black,Diesel,49039,395,1,No
A-Class,2024,Global,White,Petrol,48316,224,1,Yes
E-Class,2021,Global,Silver,Petrol,70226,237,1,Yes
GLC,2021,Global,Black,Diesel,140107,297,1,No
GLC,2024,Global,Black,Hybrid,123882,285,1,Yes
A-Class,2020,Global,Black,Hybrid,45351,401,1,Yes
CLA,2023,Global,Blue,Diesel,49070,273,1,No
C-Class,2025,Global,Blue,Hybrid,104428,225,1,Yes
A-Class,2024,Global,Grey,Petrol,50698,159,1,Yes
GLC,2024,Global,Black,Hybrid,100288,329,1,Yes
GLE,2022,Global,Silver,Petrol,68371,434,1,Yes
C-Class,2022,Global,White,Hybrid,67565,474,1,No
E-Class,2021,Global,White,Petrol,58442,427,1,No
GLE,2022,Global,Black,Petrol,142735,305,1,Yes
CLA,2025,Global,White,Electric,95991,260,1,Yes
E-Class,2024,Global,Silver,Petrol,46578,231,1,No
A-Class,2024,Global,Grey,Diesel,84910,328,1,Yes
CLA,2021,Global,Grey,Petrol,45592,276,1,No
GLC,2023,Global,White,Petrol,116685,254,1,No
A-Class,2020,Global,White,Petrol,76431,338,1,Yes
GLA,2020,Global,Black,Hybrid,65424,255,1,Yes
GLB,2024,Global,Grey,Diesel,91223,390,1,Yes
GLA,2020,Global,Grey,Petrol,51839,271,1,Yes
GLC,2023,Global,White,Petrol,77584,469,1,Yes
GLA,2022,Global,Black,Petrol,48870,313,1,Yes
GLC,2021,Global,Black,Petrol,115899,483,1,Yes
GLB,2022,Global,White,Petrol,82985,241,1,Yes
A-Class,2020,Global,Grey,Diesel,59656,403,1,Yes
GLA,2022,Global,White,Hybrid,72529,261,1,No
GLE,2022,Global,Grey,Hybrid,146694,465,1,Yes
C-Class,2023,Global,Blue,Hybrid,94427,374,1,Yes
A-Class,2022,Global,White,Diesel,89446,258,1,Yes
GLA,2022,Global,Grey,Diesel,92048,198,1,Yes
GLC,2024,Global,Black,Hybrid,71691,242,1,Yes
GLE,2022,Global,Silver,Hybrid,78487,462,1,Yes
GLE,2024,Global,Black,Electric,80185,396,1,No
